disease,userquery,userquerySyms
Aortic dissection,"
-sudden and severe chest pain, often described as ""tearing""
-pain that radiates to the back
-shortness of breath
-pulsatile mass in the abdomen
-loss of consciousness","chest,pain,pain,back,shortness of breath,mass,abdomen,loss of consciousness"
Chronic daily headaches,"
There is no definitive answer to this question as the symptoms of chronic daily headaches can vary greatly from person to person. However, some common symptoms that have been reported include: constant or near-constant headaches, migraines, headaches that are worse in the morning, headaches that interfere with daily activities, and headaches that are not alleviated by over-the-counter medication.","headache,headache,mig,headache,headache,headache"
Nephrotic syndrome,"
-Fluid retention (edema)
-Weight gain
-Foamy urine
-Increased urination at night
-Fatigue
-Muscle cramps
-Abdominal pain","fluid retention,edema,weight gain,foamy urine,urination,fatigue,muscle cramps,abdominal,pain"
Dizziness,"
The symptoms of dizziness can vary depending on the cause. However, some common symptoms include lightheadedness, a feeling of being off balance, and a sensation of spinning.","di,zziness,lightheaded"
Emphysema,"
The main symptom of emphysema is shortness of breath. This may happen gradually at first and then become more severe over time. Other symptoms include coughing, wheezing, and feeling tired all the time.","shortness of breath,tired"
Narcolepsy,"
Symptoms of narcolepsy can vary from person to person, but they typically include: 

* Excessive daytime sleepiness: This is the most common symptom of narcolepsy. People with narcolepsy often feel very sleepy during the day, even if they have gotten a good night's sleep. They may have trouble staying awake for long periods of time and may fall asleep suddenly and unexpectedly. 
* Cataplexy: This is a sudden loss of","na,rcolepsy,na,rcolepsy,sleepy,awake,fall asleep,of"
Undifferentiated pleomorphic sarcoma,"
The most common symptom of undifferentiated pleomorphic sarcoma is a lump or mass that develops under the skin. Other symptoms may include pain, swelling, or redness in the affected area.","eomorphic sarcom,lump,mass,redness"
Renal artery stenosis,"
The main symptom of renal artery stenosis is high blood pressure. Other symptoms may include:

- Fluid retention
- Kidney damage
- Heart failure","renal,high,fluid retention,kidney damage,heart failure"
Snoring,"
-Loud snoring
-Gasping or choking during sleep
-Restless sleep
-Sleepiness during the day
-Headaches
-Insomnia
-Attention problems
-Hyperactivity","gasping,choking,sleep,sleep,iness,headache,ins,omnia attention problems,hyperactivity"
Anemia,"
-tiredness
-lack of energy
-pale skin
-sweating
-shortness of breath
-heart palpitations
-headache","tiredness,lack of energy,pale skin,sweating,shortness of breath,heart,palpitations,headache"
Fuchs' dystrophy,"
The symptoms of Fuchs' dystrophy may include blurred vision, difficulty seeing at night, and the need for more light when reading or doing other close work. Other symptoms may include a feeling of grittiness in the eye, increased sensitivity to light, and eye discomfort. In advanced cases of Fuchs' dystrophy, fluid may accumulate under the central part of the cornea (the clear front surface of the eye), causing a bluish-black or grayish-white disc","fu,chs ' dystrophy,blurred,seeing,grittiness,fu,chs,dyst,fluid,under the central part of the cornea,disc"
Graves' disease,"
There are many symptoms of Graves' disease, and they can vary from person to person. Some common symptoms include:

• Anxiety
• Depression
• Irritability
• Difficulty sleeping
• Fatigue
• Muscle weakness
• trembling hands
• Rapid heartbeat
• Heat intolerance
• Sweating
• Weight loss
• Diarrhea
• bulging eyes","anxiety,depression,ir,ritability,difficulty sleeping,fatigue,muscle weakness,trembling hands,heat intolerance,sweating,weight loss,dia,rrhea,bulging eyes"
Systemic mastocytosis,"
The main symptom of systemic mastocytosis is itching or burning skin. Other symptoms can include:

• fatigue
• anxiety
• depression
• diarrhea
• abdominal pain
• flushing (redness and warmth of the skin)
• lightheadedness or dizziness
• low blood pressure (hypotension)","it,ching,burning,fatigue,anxiety,depression,dia,rr,hea,abdominal,pain,flushing,lightheadedness,di,zziness,pressure,h"
