disease,symptoms,specialties
Sepsis,,"Critical Care,Infectious Diseases,Extracorporeal Membrane Oxygenation (ECMO) Program,Cardiovascular Surgery"
Aortic dissection,"shortness of breath,leg,pain,loss of consciousness,weak pulse,arm,thigh,sudden vision problems,weakness,loss of movement (,paralysis,one side of,body,difficulty,stomach,pain,chest,back,neck,down the,back","Vascular centers,Vascular and Endovascular Surgery,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery"
Chronic daily headaches,"headache,headache,migraine,hemicrania continua","Physical Medicine and Rehabilitation,Neurology,Pain Rehabilitation Center"
Nephrotic syndrome,"swelling,ed,around,your eyes,your,ankles,feet,fatigue,foam,protein,urine,loss of appetite,weight gain,fluid retention",Nephrology and Hypertension
Dizziness,"floating,,wooziness,heavy - headedness,false sense of motion,spinning,vertigo,lightheadedness,faint unsteadiness,loss of balance",Physical Medicine and Rehabilitation
Emphysema,"short,breath,t,lips,fingernails,mentally alert","Thoracic Surgery,Pulmonary Medicine"
Narcolepsy,"sleep paralysis,na,narcolepsy,na,rcolepsy,cataplexy,cataplexy,droop,trollably,weakness,alertness,sleepiness,hall,h,hallucinations,h,pomp,ic hallucinations,hall,asleep,na,rcolepsy,sleepy,re,m,re,m,na,rcolepsy,sleep,paralysis,re,na,rcolepsy,inability to move,speak","Neurology,Pulmonary Medicine,Pediatric Sleep Medicine in Minnesota,Psychiatry and Psychology,Sleep Medicine"
Undifferentiated pleomorphic sarcoma,"fever,tingling,numbness,lump,swelling,loss of appetite,consti,pation,weight loss,swelling,hand,foot,limb","Otolaryngology (ENT)/Head and Neck Surgery,Radiation Oncology,Orthopedic Surgery,Laboratory Medicine and Pathology,Oncology (Medical),Cancer Care at Mayo Clinic"
Renal artery stenosis,"who,oshing sound,kidneys,heart failure,fluid overload,swelling,body ' s tissues","Nephrology and Hypertension,Vascular centers,Vascular and Endovascular Surgery,Cardiovascular Medicine,Radiology"
Congenital adrenal hyperplasia,,"Children's Center,Pediatric and Adolescent Medicine,Endocrinology"
Snoring,"gasping,choking,sleep,headache,chest,pain,sore,throat,breathing,sleepiness,behavioral,issues,s,noring","Otolaryngology (ENT)/Head and Neck Surgery,Pulmonary Medicine,Oral and Maxillofacial Surgery,Pediatric Sleep Medicine in Minnesota,Dental Specialties,Sleep Medicine"
Anemia,"shortness of breath,skin,chest,pain,fatigue,cold,hands,feet,headaches,di,zziness,lightheadedness,weakness,irregular heartbeats","Laboratory Medicine and Pathology,Gastroenterology and Hepatology,Hematology"
Fuchs' dystrophy,"halo,clarity,symptoms,blurred vision,pain,grit,tiness,b,list,ers,corn",Ophthalmology
Kyphosis,,"Physical Medicine and Rehabilitation,Orthopedic Surgery,Radiology"
Graves' disease,"fatigue,en,largement,thyroid,expand,bulge,neck,bulging eyes,enlarged,thyroid,frequent,en,lar,gement,thyroid gland,ir,bility,erectile dysfunction,reduced,tremor,hands,fingers,sleep disturbance,skin,on,the,shins,tops of the feet,heat,per","Otolaryngology (ENT)/Head and Neck Surgery,Thyroid Eye Disease Clinic,General Surgery,Dermatology,Ophthalmology,Endocrine Surgery,Endocrinology"
Systemic mastocytosis,"enlarged,spleen,lymph nodes,an,emia,bleeding,disorders,mood changes,problems,abdominal,diarr,nausea,vomiting,bone,muscle,pain,skin,irritation,it,ching,hives,insect stings","Hematology,Allergic Diseases"
Tennis elbow,"pain,weakness","Physical Medicine and Rehabilitation,Sports Medicine,Shoulder and Elbow Surgery in Rochester,Orthopedic Surgery"
Epidermolysis bullosa,"skin,blisters,mouth,throat,bumps,scalp,b,ering,hair loss,skin,b,palms,feet,tooth decay",Dermatology
Encephalitis,"bulging,soft spots,infant,skull body,stiffness,ir,ritability,fever,loss of sensation,unable to move certain areas,the,face,body,encephalitis,bulging,soft spots,font,back,head,fatigue,weakness,speech,hearing,nausea,vomiting,loss of consciousness,coma,muscle,weakness,stiff,neck,seizures,bulging,font,l,headache,bulging,font,anel,ache,muscles,joints,waking,confusion,agitation,hallucinations","Neurology,Infectious Diseases"
Tension headache,"tenderness,scalp,neck,shoulder muscles,tightness,pressure,forehead,sides and,back of the head,head,pain","Physical Medicine and Rehabilitation,Neurology"
Heart murmurs,"fingernails,lips,shortness of breath,swelling,weight gain,chest,pain,di,zziness,swollen,liver,swollen,neck,veins,faint,poor appetite,lack of growth,cough,sweating,activity",Pediatric Cardiac Surgery
Recurrent breast cancer,,"Breast and Melanoma Surgical Oncology,Radiation Oncology,Breast Clinic"
Atopic dermatitis (eczema),"it,chiness,o,dermatitis,eczema,darkening,skin,eyes,infant,eczema,skin,infant,eczema,skin,thick,skin,skin,rash,swollen,skin,dermatitis,chest,dermatitis,chest,inflammation,dermatitis",Dermatology
Type 2 diabetes in children,"fatigue,infections,blurry vision,thirst,hunger,ur,ination,around the,neck,armpits,groin","Children's Center,Pediatric and Adolescent Medicine,Pediatric Diabetes Program in Minnesota,Endocrinology"
High blood pressure (hypertension),"nosebleeds,shortness of breath,headaches","Nephrology and Hypertension,Transplant Center,Bariatric Center in Florida,Obstetrics and Gynecology,Kidney Transplant Program,Ophthalmology"
Benign paroxysmal positional vertigo (BPPV),"vomiting,loss of balance,un,steadiness,di,zziness,nausea,spinning,moving,vertigo",Physical Medicine and Rehabilitation
Complex regional pain syndrome,"to move,body,swelling,painful area,joint,stiff,swelling,damage,growth,affected area,muscle,spa,tremors,weakness,at,arm,leg,hand,foot","Physical Medicine and Rehabilitation,Neurology,Pain Medicine,Pediatric Rehabilitation,Pain Rehabilitation Center"
Esophageal cancer,"coughing,hoarseness,indigestion,heartburn,chest,pressure,weight loss","Radiation Oncology,Thoracic Surgery,Proton Beam Therapy Program,Oncology (Medical),Radiology,Gastroenterology and Hepatology"
Ebstein anomaly,"fatigue,disco,lor,ation,lips,skin,palpitations,short,ness","Pediatric Cardiology,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery"
Ovarian cysts,"full,pressure,he,aviness,belly,pe,l,vic,pain,ache,pain,below,belly,tton",Obstetrics and Gynecology
Glomerulonephritis,"muscle cramps,high blood pressure,hyper,ur,inating,nausea,vomiting,fluid retention,ed,ema,swelling,face,hands,feet,abdomen,urine,cells,urine,hem,fatigue,foamy,bu,bbly,urine,protein in,protein","Nephrology and Hypertension,Transplant Center,Kidney Transplant Program"
Small bowel cancer,"weak,tired,dia,rrhea,vomiting,blood,yellowing,skin,whites,eyes,ja,und,ice,weight,nausea,abdominal,pain,skin,flushing","Children's Center,Radiation Oncology,General Surgery,Oncology (Medical),Gastroenterology and Hepatology,Hepatobiliary and Pancreas Surgery,Pediatric and Adolescent Medicine"
Drug addiction (substance use disorder),"problems,harm","Psychiatry and Psychology Services,Addiction Services"
Sarcoma,"lump,skin,painful,broken,minor injury,injury,bone,pain,abdominal,pain,weight loss","Shoulder and Elbow Surgery in Rochester,Pediatric Hematology/Oncology in Minnesota,Radiation Oncology,Orthopedic Surgery,Laboratory Medicine and Pathology,Surgical Oncology and Endocrine Surgery in Arizona,Pediatric Surgery,CAR-T Cell Therapy Program,Oncology (Medical),Radiology,Plastic and Reconstructive Surgery,Hepatobiliary and Pancreas Surgery"
Oral lichen planus,,"Dermatology,Dental Specialties"
Gingivitis,"swollen,puffy gums,gums,gum,s,bleed,bad breath,receding gums,tender gums",Dental Specialties
Gallbladder cancer,"losing weight,abdominal,upper right,abdomen,abdominal,b,yellow,ing,skin,whites,eyes,ja,und,ice","Radiation Oncology,General Surgery,Surgical Oncology and Endocrine Surgery in Arizona,Proton Beam Therapy Program,Oncology (Medical),Cancer Care at Mayo Clinic,Gastroenterology and Hepatology,Hepatobiliary and Pancreas Surgery"
Acromegaly,"s,noring,obstruction,upper airway,enlarged,hands,feet,vision problems,pain,limited,enlarged,vocal cords,sinuses,headache,thick,ened,skin,fatigue,joint,muscle weakness,strual cycle,irregularities,women,loss of interest,erectile dysfunction,enlarged,facial,lips,nose,tongue,sweating","Brain Tumor Program,Endocrinology"
Pneumothorax,,"Thoracic Surgery,Pulmonary Medicine,Radiology"
Desmoid tumors,"loss of function,area,pain,cr,amp,mo,abdomen,mass,swelling","Shoulder and Elbow Surgery in Rochester,Radiation Oncology,Orthopedic Surgery,General Surgery,Laboratory Medicine and Pathology,Proton Beam Therapy Program,Oncology (Medical),Radiology,Hepatobiliary and Pancreas Surgery"
Prostate cancer,"trouble,se,weight,erectile dysfunction,bone pain,blood,force","Nuclear Medicine Therapy,Radiation Oncology,Urology,Laboratory Medicine and Pathology,Proton Beam Therapy Program,Oncology (Medical),Radiology"
