Name,Specialty,Location,Education,Residency,Board Certification
Ariane M. Abcarian,Surgery,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Khaled Abdelhady,Thoracic and Cardiac Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Carmen M. Adams,Obstetrics & Gynecology,"John H. Stroger, Jr. Hospital, Provident Hospital",Vanderbilt University School of Medicine,McGaw Medical Center of Northwestern University,Obstetrics & Gynecology
Adekonla T. Adegunsoye,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Ibadan,Internal Medicine at Mercy Fitzgerald and Mercy Philadelphia Hospitals,Internal Medicine
Oluremi Adesida,Neonatal Perinatal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Tushar M. Advani,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Ghanshyam Das Agarwal,Neonatal Perinatal Medicine,"John H. Stroger, Jr. Hospital",Maulana Azad Medical School,Stroger Hospital of Cook County,Pediatrics and Neonatology
Wakas Ahmad,Emergency Medicine,"John H. Stroger, Jr. Hospital",Midwestern University College of Health Sciences,nil,nil
Nadeem Ahmad,Internal Medicine,Provident Hospital,nil,nil,nil
Sarah L. Ahmed,Nurse Anesthetists,"John H. Stroger, Jr. Hospital",nil,nil,nil
Mopelola Subuola Akintorin,Neonatal Perinatal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital","College of Medicine, University of Lagos",Cook County Health and Hospital System,Neonatology and Pediatrics
Alexandra Albanese,Family Medicine,"John H. Stroger, Jr. Hospital, Englewood Health Center",Northwestern University Feinberg School of Medicine,University of Illinois Chicago,Family Medicine
Michael Alebich,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Elias Alhanoun,Critical Care Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,"Critical Care Medicine, Pulmonary Disease, Sleep Medicine"
Vanessa Alonso,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
